iter	Passed	Remaining
237	523	1677
238	525	1672
239	526	1667
240	527	1662
241	529	1658
242	531	1654
243	533	1653
244	535	1650
245	537	1645
246	538	1641
247	539	1636
248	541	1633
249	543	1629
250	544	1624
251	545	1620
252	548	1620
253	550	1615
254	551	1611
255	552	1607
256	554	1603
257	555	1598
258	557	1594
259	558	1590
260	560	1586
261	562	1583
262	564	1580
263	565	1577
264	567	1572
265	568	1568
266	569	1564
267	574	1569
268	576	1566
269	578	1565
270	580	1561
271	581	1557
272	583	1553
273	584	1549
274	586	1545
275	587	1541
276	588	1537
277	590	1532
278	592	1531
279	594	1528
280	596	1525
281	597	1521
282	598	1517
283	600	1513
284	601	1510
285	603	1506
286	604	1502
287	607	1503
288	609	1499
289	611	1496
290	612	1492
291	613	1488
292	615	1485
293	617	1481
294	618	1477
295	619	1473
296	622	1473
297	624	1470
298	626	1467
299	627	1463
300	628	1459
301	629	1455
302	631	1451
303	632	1447
304	633	1443
305	635	1441
306	638	1440
307	639	1437
308	641	1434
309	642	1431
310	644	1427
311	645	1423
312	646	1419
313	647	1415
314	649	1412
315	652	1412
316	653	1408
317	655	1405
318	656	1402
319	658	1398
320	660	1396
321	661	1392
322	662	1389
323	664	1386
324	667	1385
325	668	1383
326	670	1380
327	672	1377
328	673	1373
329	674	1369
330	675	1366
331	677	1362
332	678	1358
333	681	1359
334	683	1356
335	684	1352
336	685	1349
337	687	1345
338	689	1343
339	690	1340
340	691	1336
341	692	1333
342	695	1331
343	697	1329
344	698	1326
345	699	1322
346	701	1319
347	702	1316
348	703	1312
349	704	1309
350	706	1305
351	707	1302
352	709	1301
353	712	1299
354	714	1297
355	715	1295
356	717	1291
357	718	1288
358	719	1285
359	720	1281
360	722	1278
361	724	1277
362	726	1274
363	727	1271
364	728	1267
365	730	1264
366	731	1261
367	732	1257
368	733	1254
369	735	1251
370	736	1248
371	739	1248
372	740	1245
373	742	1242
374	743	1239
375	744	1235
376	745	1232
377	747	1229
378	748	1226
379	749	1222
380	750	1219
381	753	1218
382	755	1216
383	756	1213
384	757	1210
385	758	1207
386	760	1204
387	761	1200
388	762	1197
389	763	1194
390	765	1192
391	767	1190
392	769	1187
393	770	1185
394	772	1182
395	773	1179
396	774	1176
397	776	1174
398	777	1171
399	778	1168
400	780	1165
401	782	1164
402	784	1161
403	785	1159
404	786	1156
405	788	1153
406	789	1150
407	790	1147
408	791	1144
409	793	1141
410	794	1138
411	795	1135
412	798	1134
413	799	1132
414	801	1129
415	802	1126
416	803	1123
417	804	1120
418	806	1117
419	807	1114
420	808	1112
421	809	1109
422	812	1108
423	814	1105
424	815	1103
425	816	1100
426	817	1097
427	819	1094
428	820	1091
429	821	1088
430	822	1086
431	823	1083
432	825	1080
433	827	1079
434	828	1076
435	830	1073
436	831	1071
437	832	1068
438	833	1065
439	835	1062
440	836	1060
441	837	1057
442	838	1054
443	842	1054
444	844	1052
445	845	1050
446	846	1047
447	848	1044
448	849	1042
449	850	1039
450	851	1036
451	852	1034
452	854	1032
453	857	1030
454	858	1028
